gpu_mem_total_mib,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,gpu_util_pct,t
,,0.0,12.38,0.0,1785364565.465511
,,0.0,28.92,82.0,1785364566.504014
,,0.0,26.57,91.0,1785364567.5479329
,,0.0,38.18,86.0,1785364568.5733645
,,0.0,31.62,87.0,1785364569.6215968
,,0.0,48.69,95.0,1785364570.644725
,,0.0,48.63,87.0,1785364571.6889915
,,0.0,44.74,96.0,1785364572.7270472
,,0.0,54.16,96.0,1785364573.7640383
,,0.0,59.97,95.0,1785364574.8178277
,,0.0,56.74,96.0,1785364575.8592987
,,0.0,53.89,96.0,1785364576.9124372
,,0.0,63.63,96.0,1785364577.9664173
,,0.0,64.21,96.0,1785364579.0094283
,,0.0,68.83,96.0,1785364580.0454574
,,0.0,65.67,72.0,1785364581.100863
,,0.0,63.86,96.0,1785364582.154418
,,0.0,64.06,96.0,1785364583.201896
,,0.0,64.23,96.0,1785364584.2430031
,,0.0,64.4,73.0,1785364585.2815764
,,0.0,69.86,96.0,1785364586.3141437
,,0.0,66.55,96.0,1785364587.3592083
,,0.0,64.52,96.0,1785364588.4089952
,,0.0,37.72,0.0,1785364589.4609973
,,0.0,66.51,96.0,1785364590.4847803
,,0.0,75.0,96.0,1785364591.536249
,,0.0,65.86,92.0,1785364592.5749927
,,0.0,72.81,96.0,1785364593.6246264
,,0.0,69.17,96.0,1785364594.66967
,,0.0,70.96,96.0,1785364595.6956036
,,0.0,74.67,96.0,1785364596.7372267
,,0.0,66.01,91.0,1785364597.7786305
,,0.0,72.49,96.0,1785364598.8140419
,,0.0,68.14,96.0,1785364599.8458426
,,0.0,71.75,96.0,1785364600.8993385
,,0.0,76.26,96.0,1785364601.936974
,,0.0,65.64,96.0,1785364602.9770565
,,0.0,73.98,96.0,1785364604.0288503
,,0.0,68.7,96.0,1785364605.0694048
,,0.0,71.24,96.0,1785364606.1194801
,,0.0,76.05,96.0,1785364607.161498
,,0.0,65.15,96.0,1785364608.1945038
,,0.0,74.48,96.0,1785364609.2456975
,,0.0,67.85,96.0,1785364610.276722
,,0.0,71.96,95.0,1785364611.318279
,,0.0,76.62,96.0,1785364612.372847
,,0.0,65.83,96.0,1785364613.415546
,,0.0,74.58,96.0,1785364614.4552212
,,0.0,53.42,73.0,1785364615.4984002
,,0.0,13.53,0.0,1785364616.5225205
,,0.0,16.2,0.0,1785364617.546766
,,0.0,71.63,96.0,1785364618.5879655
,,0.0,76.63,96.0,1785364619.633523
,,0.0,78.92,96.0,1785364620.6732988
,,0.0,81.19,96.0,1785364621.7188036
,,0.0,82.93,96.0,1785364622.769357
,,0.0,47.13,96.0,1785364623.8094943
,,0.0,64.76,96.0,1785364624.8711991
,,0.0,75.32,95.0,1785364625.9089882
,,0.0,78.43,96.0,1785364626.9577906
,,0.0,79.82,96.0,1785364627.9825935
,,0.0,83.55,96.0,1785364629.0119362
,,0.0,60.96,96.0,1785364630.0392125
,,0.0,54.84,96.0,1785364631.086733
,,0.0,74.05,96.0,1785364632.1252112
,,0.0,76.97,96.0,1785364633.1493514
,,0.0,80.76,96.0,1785364634.188267
,,0.0,83.2,96.0,1785364635.2252078
,,0.0,75.68,96.0,1785364636.2586966
,,0.0,44.78,96.0,1785364637.3106022
,,0.0,72.86,95.0,1785364638.3559048
,,0.0,76.87,96.0,1785364639.3975127
,,0.0,80.73,96.0,1785364640.4411292
,,0.0,82.13,96.0,1785364641.468805
,,0.0,84.06,96.0,1785364642.5161335
,,0.0,41.03,96.0,1785364643.550641
,,0.0,72.5,96.0,1785364644.5759246
,,0.0,76.89,96.0,1785364645.6141422
,,0.0,79.85,96.0,1785364646.6645615
,,0.0,80.93,96.0,1785364647.692581
,,0.0,84.48,96.0,1785364648.7342339
,,0.0,54.84,95.0,1785364649.7618575
,,0.0,20.47,0.0,1785364650.809479
,,0.0,13.95,0.0,1785364651.834888
,,0.0,13.8,0.0,1785364652.861484
,,0.0,13.58,0.0,1785364653.8859355
,,0.0,13.5,0.0,1785364654.9096162
,,0.0,13.39,0.0,1785364655.93522
,,0.0,13.33,0.0,1785364656.9589362
,,0.0,13.27,0.0,1785364657.9838495
,,0.0,17.62,0.0,1785364659.0087304
,,0.0,71.16,96.0,1785364660.048849
,,0.0,76.41,96.0,1785364661.1027195
,,0.0,78.9,96.0,1785364662.153792
,,0.0,80.39,96.0,1785364663.1825671
,,0.0,83.51,96.0,1785364664.2294462
,,0.0,83.99,96.0,1785364665.257446
,,0.0,86.5,96.0,1785364666.3021154
,,0.0,86.56,96.0,1785364667.3306413
,,0.0,86.89,96.0,1785364668.358294
,,0.0,86.64,96.0,1785364669.3834162
,,0.0,90.26,96.0,1785364670.4170392
,,0.0,88.35,96.0,1785364671.4463778
,,0.0,90.04,96.0,1785364672.492257
,,0.0,69.47,96.0,1785364673.5170343
,,0.0,48.2,10.0,1785364674.563046
,,0.0,73.56,96.0,1785364675.6116393
,,0.0,77.45,96.0,1785364676.6572204
,,0.0,81.41,96.0,1785364677.7078588
,,0.0,83.71,96.0,1785364678.7469125
,,0.0,84.29,96.0,1785364679.7924247
,,0.0,87.57,96.0,1785364680.8503315
,,0.0,85.56,96.0,1785364681.8740854
,,0.0,87.41,96.0,1785364682.9282656
,,0.0,87.6,96.0,1785364683.9700937
,,0.0,90.22,96.0,1785364685.014385
,,0.0,87.08,96.0,1785364686.0414073
,,0.0,90.29,96.0,1785364687.0736055
,,0.0,90.79,96.0,1785364688.0987623
,,0.0,52.57,96.0,1785364689.122405
,,0.0,59.29,96.0,1785364690.175585
,,0.0,75.74,96.0,1785364691.2167268
,,0.0,78.87,96.0,1785364692.246437
,,0.0,82.03,96.0,1785364693.296445
,,0.0,83.89,96.0,1785364694.338207
,,0.0,84.04,96.0,1785364695.363431
,,0.0,87.45,96.0,1785364696.386844
,,0.0,86.12,96.0,1785364697.431133
,,0.0,87.19,96.0,1785364698.4689293
,,0.0,88.52,96.0,1785364699.5097594
,,0.0,89.57,96.0,1785364700.559278
,,0.0,87.5,95.0,1785364701.584916
,,0.0,90.33,96.0,1785364702.6378288
,,0.0,91.46,96.0,1785364703.6633806
,,0.0,41.28,96.0,1785364704.6878324
,,0.0,67.39,96.0,1785364705.738515
,,0.0,77.53,96.0,1785364706.7750735
,,0.0,80.91,95.0,1785364707.8241332
,,0.0,81.66,96.0,1785364708.8572707
,,0.0,85.38,96.0,1785364709.882441
,,0.0,84.82,96.0,1785364710.9109824
,,0.0,86.44,96.0,1785364711.93827
,,0.0,87.39,95.0,1785364712.9938102
,,0.0,87.55,96.0,1785364714.0224624
,,0.0,88.88,96.0,1785364715.0603726
,,0.0,90.22,96.0,1785364716.1089935
,,0.0,88.43,96.0,1785364717.1349466
,,0.0,89.58,96.0,1785364718.18177
,,0.0,86.3,96.0,1785364719.2102034
,,0.0,39.2,96.0,1785364720.251505
,,0.0,74.24,96.0,1785364721.2857368
,,0.0,79.53,96.0,1785364722.333457
,,0.0,81.25,96.0,1785364723.376137
,,0.0,83.35,96.0,1785364724.4214938
,,0.0,85.08,96.0,1785364725.4705813
,,0.0,86.29,96.0,1785364726.508373
,,0.0,87.49,96.0,1785364727.556928
,,0.0,87.87,96.0,1785364728.5815952
,,0.0,88.04,96.0,1785364729.607782
,,0.0,87.68,96.0,1785364730.632794
,,0.0,90.28,96.0,1785364731.6785731
,,0.0,88.67,96.0,1785364732.7045903
,,0.0,89.19,96.0,1785364733.749864
,,0.0,73.48,96.0,1785364734.7816956
,,0.0,33.04,96.0,1785364735.832532
,,0.0,19.95,0.0,1785364736.8562608
,,0.0,19.69,20.0,1785364737.8814034
,,0.0,19.14,4.0,1785364738.9089036
,,0.0,16.97,0.0,1785364739.943421
,,0.0,24.56,0.0,1785364740.9684327
,,0.0,24.8,85.0,1785364741.9936838
,,0.0,19.4,0.0,1785364743.020707
,,0.0,24.65,0.0,1785364744.045789
,,0.0,24.47,63.0,1785364745.0715976
,,0.0,22.4,0.0,1785364746.098536
,,0.0,41.44,96.0,1785364747.1458895
,,0.0,33.66,31.0,1785364748.1941457
,,0.0,29.55,0.0,1785364749.2208488
,,0.0,36.97,0.0,1785364750.2458394
,,0.0,38.08,96.0,1785364751.2904732
,,0.0,29.71,11.0,1785364752.314385
,,0.0,30.62,0.0,1785364753.3398767
,,0.0,70.0,96.0,1785364754.3861196
,,0.0,39.92,31.0,1785364755.4290771
,,0.0,67.28,96.0,1785364756.4733753
,,0.0,47.83,96.0,1785364757.5008457
,,0.0,42.31,0.0,1785364758.5524912
,,0.0,71.28,96.0,1785364759.5769672
,,0.0,40.74,87.0,1785364760.624195
,,0.0,52.37,96.0,1785364761.6629524
,,0.0,61.71,96.0,1785364762.687022
,,0.0,40.6,0.0,1785364763.728494
,,0.0,63.81,96.0,1785364764.7737966
,,0.0,50.89,96.0,1785364765.801511
,,0.0,40.58,77.0,1785364766.8479013
,,0.0,72.24,96.0,1785364767.8912084
,,0.0,41.32,0.0,1785364768.9291117
,,0.0,67.75,96.0,1785364769.9789832
,,0.0,73.05,96.0,1785364771.0264199
,,0.0,76.58,96.0,1785364772.0749705
,,0.0,80.06,96.0,1785364773.1204953
,,0.0,81.57,96.0,1785364774.1509032
,,0.0,81.56,96.0,1785364775.1938374
,,0.0,42.87,0.0,1785364776.2213037
,,0.0,73.79,96.0,1785364777.2602346
,,0.0,77.49,96.0,1785364778.300228
,,0.0,81.05,96.0,1785364779.3433707
,,0.0,83.6,96.0,1785364780.3723578
,,0.0,72.02,33.0,1785364781.4077132
,,0.0,50.45,96.0,1785364782.4320788
,,0.0,74.47,96.0,1785364783.4682765
,,0.0,78.19,96.0,1785364784.5062304
,,0.0,81.29,96.0,1785364785.5557597
,,0.0,84.29,96.0,1785364786.592786
,,0.0,63.76,96.0,1785364787.618517
,,0.0,59.18,96.0,1785364788.6418545
,,0.0,75.56,96.0,1785364789.686864
,,0.0,78.84,95.0,1785364790.720709
,,0.0,81.78,96.0,1785364791.7630112
,,0.0,83.66,96.0,1785364792.8109136
,,0.0,55.18,96.0,1785364793.836755
,,0.0,67.48,96.0,1785364794.8611765
,,0.0,76.49,96.0,1785364795.9130106
,,0.0,79.42,96.0,1785364796.9437883
,,0.0,82.47,96.0,1785364797.9958272
,,0.0,84.03,96.0,1785364799.0449936
,,0.0,44.46,96.0,1785364800.0786445
,,0.0,73.14,96.0,1785364801.1290843
,,0.0,78.2,96.0,1785364802.1663883
,,0.0,80.12,96.0,1785364803.1952724
,,0.0,82.98,96.0,1785364804.23338
,,0.0,84.33,96.0,1785364805.2740436
,,0.0,42.64,96.0,1785364806.3291764
,,0.0,73.95,95.0,1785364807.3734396
,,0.0,78.25,96.0,1785364808.4115136
,,0.0,81.26,96.0,1785364809.4537747
,,0.0,82.77,96.0,1785364810.50593
,,0.0,84.39,96.0,1785364811.5584495
,,0.0,42.5,47.0,1785364812.6035626
,,0.0,74.82,96.0,1785364813.6475112
,,0.0,78.38,96.0,1785364814.7004023
,,0.0,82.11,96.0,1785364815.7425492
,,0.0,83.14,96.0,1785364816.7722404
,,0.0,82.92,96.0,1785364817.816062
,,0.0,44.89,0.0,1785364818.842833
,,0.0,74.74,96.0,1785364819.8873417
,,0.0,78.69,96.0,1785364820.9258301
,,0.0,82.48,96.0,1785364821.9696152
,,0.0,84.18,96.0,1785364823.000915
,,0.0,72.64,96.0,1785364824.04664
,,0.0,51.27,0.0,1785364825.070911
,,0.0,75.77,96.0,1785364826.108098
,,0.0,78.5,96.0,1785364827.1461225
,,0.0,82.22,96.0,1785364828.1950607
,,0.0,85.07,95.0,1785364829.2404237
,,0.0,69.96,96.0,1785364830.2670567
,,0.0,36.85,96.0,1785364831.3138533
,,0.0,36.63,96.0,1785364832.3619285
,,0.0,36.52,96.0,1785364833.409985
,,0.0,36.44,96.0,1785364834.4567997
,,0.0,36.33,96.0,1785364835.5008366
,,0.0,36.29,96.0,1785364836.5500417
,,0.0,37.49,96.0,1785364837.593889
,,0.0,36.5,96.0,1785364838.6408942
,,0.0,36.41,96.0,1785364839.6894035
,,0.0,36.31,96.0,1785364840.7406569
,,0.0,36.32,96.0,1785364841.7908387
,,0.0,36.33,96.0,1785364842.8389714
,,0.0,36.29,96.0,1785364843.8973842
,,0.0,36.24,96.0,1785364844.9422596
,,0.0,36.19,96.0,1785364845.9933453
,,0.0,36.19,96.0,1785364847.0385234
,,0.0,36.16,96.0,1785364848.0868862
,,0.0,36.14,96.0,1785364849.1397262
,,0.0,37.05,96.0,1785364850.1909947
,,0.0,35.68,96.0,1785364851.235147
,,0.0,35.95,96.0,1785364852.2804134
