gpu_mem_total_mib,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,gpu_util_pct,t
,,0.0,11.92,0.0,1784759240.7523477
,,0.0,11.16,0.0,1784759241.7773058
,,0.0,11.13,0.0,1784759242.8006
,,0.0,37.38,1.0,1784759243.8254237
,,0.0,50.44,96.0,1784759244.8719914
,,0.0,65.64,96.0,1784759245.9054468
,,0.0,70.3,96.0,1784759246.9514744
,,0.0,72.5,96.0,1784759248.0059695
,,0.0,71.32,96.0,1784759249.0693078
,,0.0,34.33,96.0,1784759250.1152446
,,0.0,60.19,96.0,1784759251.1643784
,,0.0,66.79,96.0,1784759252.2089126
,,0.0,69.92,96.0,1784759253.2414093
,,0.0,73.08,96.0,1784759254.3028386
,,0.0,74.55,96.0,1784759255.354896
,,0.0,35.38,96.0,1784759256.390378
,,0.0,58.15,96.0,1784759257.4427996
,,0.0,66.33,96.0,1784759258.4883761
,,0.0,69.85,96.0,1784759259.5421197
,,0.0,73.18,96.0,1784759260.5893905
,,0.0,74.62,96.0,1784759261.6347053
,,0.0,44.57,96.0,1784759262.683444
,,0.0,54.27,96.0,1784759263.7283423
,,0.0,66.04,96.0,1784759264.7836277
,,0.0,69.92,96.0,1784759265.8394675
,,0.0,71.4,96.0,1784759266.8640332
,,0.0,75.09,96.0,1784759267.8912387
,,0.0,53.1,96.0,1784759268.949961
,,0.0,49.38,96.0,1784759269.9984345
,,0.0,64.63,96.0,1784759271.0568838
,,0.0,68.97,96.0,1784759272.1069367
,,0.0,72.79,96.0,1784759273.1507435
,,0.0,75.85,92.0,1784759274.1845407
,,0.0,60.26,96.0,1784759275.2441566
,,0.0,25.18,96.0,1784759276.2967668
,,0.0,12.84,0.0,1784759277.3230746
,,0.0,12.65,0.0,1784759278.3483238
,,0.0,12.61,0.0,1784759279.3734078
,,0.0,12.57,0.0,1784759280.400302
,,0.0,12.5,0.0,1784759281.4261239
,,0.0,12.47,0.0,1784759282.4531298
,,0.0,12.44,0.0,1784759283.477037
,,0.0,12.38,0.0,1784759284.500064
,,0.0,30.79,80.0,1784759285.5247605
,,0.0,63.1,95.0,1784759286.5794652
,,0.0,67.87,96.0,1784759287.6033614
,,0.0,72.89,96.0,1784759288.6321244
,,0.0,73.86,96.0,1784759289.6664438
,,0.0,76.37,96.0,1784759290.7018661
,,0.0,76.78,96.0,1784759291.7272534
,,0.0,79.96,96.0,1784759292.77553
,,0.0,81.35,96.0,1784759293.8014634
,,0.0,80.41,96.0,1784759294.8271506
,,0.0,80.71,96.0,1784759295.8533561
,,0.0,84.57,96.0,1784759296.8846495
,,0.0,83.74,96.0,1784759297.9217405
,,0.0,85.67,96.0,1784759298.9639497
,,0.0,39.82,96.0,1784759299.9902942
,,0.0,55.06,34.0,1784759301.0467024
,,0.0,67.2,96.0,1784759302.1043682
,,0.0,72.1,96.0,1784759303.1593113
,,0.0,74.36,96.0,1784759304.2051692
,,0.0,76.26,96.0,1784759305.2518024
,,0.0,77.97,96.0,1784759306.2996964
,,0.0,80.1,96.0,1784759307.3398736
,,0.0,80.79,96.0,1784759308.3923812
,,0.0,81.54,96.0,1784759309.440365
,,0.0,83.02,96.0,1784759310.472812
,,0.0,82.67,96.0,1784759311.5064576
,,0.0,86.13,96.0,1784759312.5356665
,,0.0,84.8,96.0,1784759313.5690992
,,0.0,67.42,96.0,1784759314.6153452
,,0.0,41.29,96.0,1784759315.6660306
,,0.0,64.44,96.0,1784759316.7266512
,,0.0,69.89,96.0,1784759317.7569404
,,0.0,74.06,96.0,1784759318.8073099
,,0.0,77.87,96.0,1784759319.8579607
,,0.0,77.78,96.0,1784759320.8959663
,,0.0,80.32,96.0,1784759321.9647596
,,0.0,81.28,96.0,1784759323.025637
,,0.0,82.42,96.0,1784759324.0558453
,,0.0,82.8,96.0,1784759325.083777
,,0.0,83.82,96.0,1784759326.109364
,,0.0,86.31,96.0,1784759327.167337
,,0.0,85.43,96.0,1784759328.1942642
,,0.0,86.56,96.0,1784759329.244059
,,0.0,42.8,96.0,1784759330.2744076
,,0.0,55.88,96.0,1784759331.3273277
,,0.0,69.11,96.0,1784759332.3923502
,,0.0,72.4,96.0,1784759333.443282
,,0.0,74.29,96.0,1784759334.4717228
,,0.0,78.47,96.0,1784759335.497101
,,0.0,80.36,96.0,1784759336.547102
,,0.0,80.85,96.0,1784759337.5981321
,,0.0,83.03,96.0,1784759338.6258986
,,0.0,83.27,96.0,1784759339.6529138
,,0.0,83.34,96.0,1784759340.6819592
,,0.0,84.68,96.0,1784759341.7078018
,,0.0,85.31,96.0,1784759342.7405212
,,0.0,87.93,96.0,1784759343.7641683
,,0.0,74.33,96.0,1784759344.7934186
,,0.0,38.53,96.0,1784759345.840563
,,0.0,64.39,96.0,1784759346.891189
,,0.0,71.15,96.0,1784759347.932427
,,0.0,74.21,96.0,1784759348.9673662
,,0.0,77.42,96.0,1784759350.032267
,,0.0,78.31,96.0,1784759351.087076
,,0.0,79.96,96.0,1784759352.1183636
,,0.0,82.26,96.0,1784759353.1730623
,,0.0,83.79,96.0,1784759354.1974268
,,0.0,83.25,96.0,1784759355.2217546
,,0.0,83.63,96.0,1784759356.2467155
,,0.0,85.0,96.0,1784759357.2754104
,,0.0,85.58,95.0,1784759358.329991
,,0.0,87.58,96.0,1784759359.3560352
,,0.0,51.22,96.0,1784759360.3838818
,,0.0,22.78,0.0,1784759361.4404106
,,0.0,14.36,0.0,1784759362.473487
