gpu_mem_total_mib,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,gpu_util_pct,t
,,0.0,11.57,0.0,1784581274.5171285
,,0.0,10.85,0.0,1784581275.542757
,,0.0,10.82,0.0,1784581276.566364
,,0.0,10.81,0.0,1784581277.590016
,,0.0,10.79,0.0,1784581278.6145866
,,0.0,10.8,0.0,1784581279.6383548
,,0.0,10.8,0.0,1784581280.663458
,,0.0,10.81,0.0,1784581281.6886985
,,0.0,10.84,0.0,1784581282.713231
,,0.0,10.79,0.0,1784581283.7379096
,,0.0,24.3,83.0,1784581284.7622101
,,0.0,32.65,93.0,1784581285.7975287
,,0.0,36.28,96.0,1784581286.8527708
,,0.0,37.93,85.0,1784581287.895971
,,0.0,41.89,96.0,1784581288.9514196
,,0.0,42.51,85.0,1784581289.9977708
,,0.0,47.58,96.0,1784581291.0424917
,,0.0,50.12,96.0,1784581292.0951746
,,0.0,50.1,96.0,1784581293.1555164
,,0.0,43.32,87.0,1784581294.210742
,,0.0,55.53,96.0,1784581295.2645185
,,0.0,58.45,96.0,1784581296.3093822
,,0.0,57.79,96.0,1784581297.3549683
,,0.0,55.4,96.0,1784581298.398089
,,0.0,55.6,96.0,1784581299.4605777
,,0.0,56.04,96.0,1784581300.5128007
,,0.0,55.76,79.0,1784581301.5523162
,,0.0,56.15,96.0,1784581302.5974715
,,0.0,59.71,96.0,1784581303.6523952
,,0.0,57.66,96.0,1784581304.7023194
,,0.0,56.25,96.0,1784581305.752947
,,0.0,30.84,0.0,1784581306.7969308
,,0.0,59.15,96.0,1784581307.819603
,,0.0,65.87,96.0,1784581308.8676286
,,0.0,56.78,70.0,1784581309.9023228
,,0.0,63.68,96.0,1784581310.9609058
,,0.0,59.23,96.0,1784581312.0152664
,,0.0,61.51,96.0,1784581313.0624192
,,0.0,67.36,96.0,1784581314.120329
,,0.0,55.76,69.0,1784581315.1641073
,,0.0,65.46,96.0,1784581316.2091348
,,0.0,59.21,96.0,1784581317.2611756
,,0.0,63.69,96.0,1784581318.3070598
,,0.0,61.83,96.0,1784581319.3555212
,,0.0,61.8,70.0,1784581320.3937454
,,0.0,67.5,96.0,1784581321.443639
,,0.0,58.07,69.0,1784581322.493621
,,0.0,65.44,96.0,1784581323.543949
,,0.0,60.34,96.0,1784581324.5956626
,,0.0,63.18,96.0,1784581325.6626678
,,0.0,67.29,96.0,1784581326.6953092
,,0.0,58.1,70.0,1784581327.7509606
,,0.0,67.37,96.0,1784581328.8020895
,,0.0,58.71,96.0,1784581329.8588564
,,0.0,64.37,96.0,1784581330.9028633
,,0.0,58.86,62.0,1784581331.9307077
,,0.0,12.87,0.0,1784581332.9563406
,,0.0,12.67,0.0,1784581333.9788902
,,0.0,55.0,96.0,1784581335.0013022
,,0.0,66.88,96.0,1784581336.0589764
,,0.0,70.07,96.0,1784581337.090101
,,0.0,71.98,96.0,1784581338.1501153
,,0.0,76.95,96.0,1784581339.1954625
,,0.0,48.89,96.0,1784581340.2254214
,,0.0,52.23,96.0,1784581341.2705579
,,0.0,65.91,96.0,1784581342.3271782
,,0.0,70.03,96.0,1784581343.3788252
,,0.0,72.54,96.0,1784581344.4336064
,,0.0,77.21,96.0,1784581345.4845665
,,0.0,55.87,96.0,1784581346.508712
,,0.0,47.71,96.0,1784581347.5617244
,,0.0,64.54,96.0,1784581348.6091354
,,0.0,68.8,96.0,1784581349.6417613
,,0.0,73.47,96.0,1784581350.670829
,,0.0,75.22,95.0,1784581351.6986592
,,0.0,66.6,96.0,1784581352.7521658
,,0.0,41.58,96.0,1784581353.8018255
,,0.0,63.97,96.0,1784581354.8505979
,,0.0,69.11,96.0,1784581355.8890123
,,0.0,73.66,96.0,1784581356.939965
,,0.0,75.32,96.0,1784581357.9916584
,,0.0,74.17,96.0,1784581359.0503726
,,0.0,37.33,96.0,1784581360.1010745
,,0.0,62.84,96.0,1784581361.1524367
,,0.0,69.37,96.0,1784581362.2001061
,,0.0,72.55,96.0,1784581363.2276435
,,0.0,76.09,93.0,1784581364.286945
,,0.0,76.61,96.0,1784581365.3309817
,,0.0,39.24,96.0,1784581366.3762925
,,0.0,14.29,0.0,1784581367.4280164
,,0.0,13.27,0.0,1784581368.4538243
,,0.0,13.14,0.0,1784581369.478139
,,0.0,13.09,0.0,1784581370.5021777
,,0.0,13.0,0.0,1784581371.5272279
,,0.0,12.97,0.0,1784581372.551466
,,0.0,12.89,0.0,1784581373.5773618
,,0.0,12.86,0.0,1784581374.6023173
,,0.0,16.51,0.0,1784581375.6265833
,,0.0,61.56,96.0,1784581376.6684544
,,0.0,68.43,96.0,1784581377.7237983
,,0.0,71.85,96.0,1784581378.7494662
,,0.0,74.39,96.0,1784581379.7998633
,,0.0,76.06,96.0,1784581380.832293
,,0.0,78.33,96.0,1784581381.906649
,,0.0,80.23,96.0,1784581382.9710877
,,0.0,81.2,96.0,1784581383.997683
,,0.0,81.16,96.0,1784581385.0238752
,,0.0,81.49,96.0,1784581386.0479064
,,0.0,83.62,96.0,1784581387.0712717
,,0.0,84.55,96.0,1784581388.1312766
,,0.0,86.15,96.0,1784581389.1597412
,,0.0,50.77,96.0,1784581390.184594
,,0.0,49.64,96.0,1784581391.222683
,,0.0,66.21,96.0,1784581392.277541
,,0.0,70.13,96.0,1784581393.343113
,,0.0,73.58,96.0,1784581394.394412
,,0.0,77.33,96.0,1784581395.426926
,,0.0,78.18,96.0,1784581396.4663322
,,0.0,79.7,96.0,1784581397.5170999
,,0.0,80.94,96.0,1784581398.542517
,,0.0,82.76,96.0,1784581399.5811076
,,0.0,84.35,96.0,1784581400.6314573
,,0.0,83.68,96.0,1784581401.6682713
,,0.0,84.07,96.0,1784581402.6930075
,,0.0,85.68,96.0,1784581403.7487304
,,0.0,78.21,96.0,1784581404.7722566
,,0.0,35.58,96.0,1784581405.8220258
,,0.0,63.94,96.0,1784581406.877887
,,0.0,69.57,96.0,1784581407.9450178
,,0.0,73.81,96.0,1784581408.987859
,,0.0,74.92,96.0,1784581410.0235455
,,0.0,78.69,96.0,1784581411.0495968
,,0.0,79.27,96.0,1784581412.0879185
,,0.0,78.75,96.0,1784581413.11151
,,0.0,82.69,96.0,1784581414.1569636
,,0.0,82.37,96.0,1784581415.192257
,,0.0,85.25,96.0,1784581416.220924
,,0.0,85.28,96.0,1784581417.2746089
