gpu_mem_total_mib,gpu_mem_used_mib,gpu_power_w,t
,,79.65,1784412075.445693
,,56.95,1784412076.4707117
,,23.93,1784412077.5258694
,,13.83,1784412078.5492418
,,13.72,1784412079.5737894
,,13.56,1784412080.5975046
,,13.37,1784412081.6209788
,,13.31,1784412082.644069
,,13.21,1784412083.6673586
,,13.15,1784412084.6966856
,,13.08,1784412085.7212017
,,27.16,1784412086.7436779
,,64.57,1784412087.785764
,,69.18,1784412088.833381
,,74.46,1784412089.8723664
,,74.93,1784412090.8958256
,,78.2,1784412091.9403892
,,79.62,1784412092.9634204
,,81.51,1784412094.0065193
,,82.04,1784412095.0292714
,,81.98,1784412096.056609
,,82.87,1784412097.082088
,,86.45,1784412098.106373
,,84.32,1784412099.1386917
,,86.94,1784412100.1759648
,,39.97,1784412101.2031548
,,55.32,1784412102.255089
,,68.29,1784412103.3103828
,,72.74,1784412104.3672302
,,75.27,1784412105.4211745
,,78.37,1784412106.468712
,,78.93,1784412107.495988
,,80.84,1784412108.518302
,,82.49,1784412109.5642323
,,83.16,1784412110.5944302
,,83.44,1784412111.617506
,,86.57,1784412112.668389
,,84.34,1784412113.708897
,,87.92,1784412114.7349951
,,64.3,1784412115.759542
,,43.93,1784412116.8058684
,,66.2,1784412117.866496
,,71.47,1784412118.9042244
,,76.02,1784412119.9327846
,,76.63,1784412120.9679308
,,78.88,1784412121.9998128
,,80.14,1784412123.0247376
,,83.18,1784412124.0646074
,,83.62,1784412125.0924282
,,84.24,1784412126.12397
,,84.07,1784412127.1517704
,,85.29,1784412128.1773248
,,86.11,1784412129.23027
,,88.32,1784412130.2548447
,,40.34,1784412131.281804
,,58.19,1784412132.3303363
,,69.47,1784412133.3706043
,,73.64,1784412134.4185987
,,76.18,1784412135.4710016
,,80.39,1784412136.519613
,,79.69,1784412137.5457218
,,81.36,1784412138.574791
,,83.85,1784412139.626086
,,84.14,1784412140.6527095
,,84.05,1784412141.6777854
,,87.24,1784412142.7137296
,,85.29,1784412143.7652915
,,87.88,1784412144.7946854
,,62.99,1784412145.8184547
,,45.74,1784412146.8765724
,,66.83,1784412147.9311616
,,72.07,1784412148.9560993
,,76.0,1784412149.9839463
,,78.61,1784412151.0491853
,,79.79,1784412152.0758066
,,80.5,1784412153.1071641
,,83.11,1784412154.1341891
,,84.28,1784412155.1863356
,,84.96,1784412156.247233
,,87.36,1784412157.302519
,,85.34,1784412158.3438249
,,88.07,1784412159.3713663
,,86.52,1784412160.3962932
,,38.26,1784412161.446831
,,37.48,1784412162.5011275
,,36.19,1784412163.5452254
,,36.07,1784412164.5975606
,,35.98,1784412165.6429732
,,35.92,1784412166.688954
,,35.82,1784412167.7356703
,,34.38,1784412168.7933273
,,35.74,1784412169.8452427
,,35.68,1784412170.8966
,,35.63,1784412171.943993
,,35.55,1784412172.986449
,,35.52,1784412174.0339413
,,35.5,1784412175.0780098
,,35.52,1784412176.125852
,,35.47,1784412177.1761565
,,35.46,1784412178.221645
,,35.46,1784412179.2688706
,,35.45,1784412180.318521
,,35.4,1784412181.3689218
,,35.33,1784412182.4166927
,,33.9,1784412183.4416003
,,35.12,1784412184.4879677
,,35.11,1784412185.5359755
,,35.04,1784412186.5829718
,,35.06,1784412187.629055
,,34.99,1784412188.672437
,,34.99,1784412189.7194817
,,35.1,1784412190.769802
,,35.11,1784412191.8194654
,,35.08,1784412192.8621795
,,35.06,1784412193.9102027
,,35.08,1784412194.9520364
,,35.02,1784412196.00206
,,34.97,1784412197.0507095
,,34.88,1784412198.1032538
,,34.99,1784412199.1490905
,,35.02,1784412200.1938586
,,34.93,1784412201.2435656
,,34.98,1784412202.2905748
,,34.91,1784412203.3433254
,,34.92,1784412204.390744
,,34.91,1784412205.4357824
,,34.86,1784412206.4818373
,,34.82,1784412207.5310519
,,34.85,1784412208.5784554
,,34.82,1784412209.6284468
,,24.5,1784412210.6720898
,,13.33,1784412211.6966093
,,13.27,1784412212.721261
,,13.19,1784412213.746002
,,13.13,1784412214.770261
,,13.12,1784412215.7952168
,,13.05,1784412216.819349
,,13.05,1784412217.842769
,,12.99,1784412218.8665936
,,15.67,1784412219.8920958
,,33.97,1784412220.9409037
,,34.06,1784412221.9921496
,,34.05,1784412223.0416887
,,34.08,1784412224.091852
,,34.11,1784412225.143928
,,34.21,1784412226.1907015
,,34.25,1784412227.2377396
,,34.3,1784412228.2876813
,,34.23,1784412229.3367178
,,34.32,1784412230.383408
,,34.31,1784412231.427126
,,34.26,1784412232.4707456
,,14.18,1784412233.516996
,,12.96,1784412234.542401
,,12.87,1784412235.5653827
,,12.86,1784412236.5887513
,,12.83,1784412237.6119585
,,12.78,1784412238.6367273
,,12.76,1784412239.6600058
,,12.74,1784412240.6822312
,,12.7,1784412241.7063544
,,26.49,1784412242.7327318
,,33.7,1784412243.7781174
,,33.67,1784412244.829962
,,33.77,1784412245.8795476
,,33.76,1784412246.9237235
,,33.86,1784412247.9752483
,,33.85,1784412249.02517
,,33.95,1784412250.0736012
,,33.95,1784412251.1253002
,,33.97,1784412252.1737556
,,33.99,1784412253.2258074
,,18.88,1784412254.2770302
,,12.79,1784412255.301064
,,12.71,1784412256.3261597
,,12.67,1784412257.3491225
,,12.62,1784412258.3747375
,,12.65,1784412259.398412
,,12.57,1784412260.4221342
,,12.57,1784412261.4470751
,,12.53,1784412262.4713829
,,18.5,1784412263.4961317
,,33.37,1784412264.5442345
,,33.49,1784412265.5884895
,,33.48,1784412266.6387863
,,33.52,1784412267.680637
,,33.64,1784412268.730511
,,33.72,1784412269.7779083
,,33.74,1784412270.8273678
,,24.81,1784412271.8764338
,,12.66,1784412272.9003258
,,12.6,1784412273.9244242
,,12.52,1784412274.948036
,,12.49,1784412275.9708765
,,12.48,1784412276.994567
,,12.47,1784412278.0178816
,,12.46,1784412279.0421207
,,12.44,1784412280.0654426
,,15.57,1784412281.0901852
,,33.21,1784412282.1417933
,,33.4,1784412283.1924229
,,33.41,1784412284.2372236
,,33.48,1784412285.2867646
,,33.38,1784412286.3385582
,,12.64,1784412287.3700364
,,12.34,1784412288.3944225
,,12.29,1784412289.4192224
,,12.27,1784412290.443355
,,12.27,1784412291.4669225
,,12.24,1784412292.4919124
,,12.22,1784412293.5165806
,,12.21,1784412294.5408943
,,12.18,1784412295.5650132
,,28.01,1784412296.5903397
,,33.21,1784412297.6387665
,,33.26,1784412298.684865
,,33.31,1784412299.7355502
,,33.34,1784412300.7840188
,,33.43,1784412301.830506
,,33.42,1784412302.8778274
,,33.44,1784412303.9258783
,,33.5,1784412304.9761567
,,33.47,1784412306.0221062
,,33.51,1784412307.0707266
,,33.56,1784412308.1237636
,,33.52,1784412309.1682816
,,21.74,1784412310.2144883
,,12.51,1784412311.2376895
,,12.44,1784412312.2620804
,,12.27,1784412313.2857025
,,12.23,1784412314.3108075
,,12.23,1784412315.3354151
,,12.2,1784412316.3593118
,,12.2,1784412317.3830585
,,12.15,1784412318.4054906
,,18.23,1784412319.4325836
,,33.06,1784412320.477567
,,33.12,1784412321.5290747
,,33.17,1784412322.571378
,,33.24,1784412323.6192493
,,33.24,1784412324.667204
,,33.35,1784412325.714735
,,33.36,1784412326.7646184
,,33.45,1784412327.8146966
,,33.44,1784412328.868486
,,33.52,1784412329.919745
,,33.58,1784412330.9705865
,,33.55,1784412332.0223236
,,33.55,1784412333.0730891
,,33.52,1784412334.1253283
,,33.49,1784412335.1750891
,,33.54,1784412336.2242053
,,34.81,1784412337.2742348
,,33.61,1784412338.3218682
,,33.59,1784412339.370034
,,35.06,1784412340.4173934
,,33.61,1784412341.4650288
,,33.66,1784412342.5124774
,,33.69,1784412343.5654926
,,34.54,1784412344.6077278
,,33.71,1784412345.6563966
,,33.7,1784412346.7065027
,,35.19,1784412347.7530415
,,33.72,1784412348.8013508
,,33.81,1784412349.85002
,,35.28,1784412350.8989227
,,33.74,1784412351.948371
,,33.79,1784412352.9980896
,,33.83,1784412354.0521688
,,35.24,1784412355.099091
,,33.74,1784412356.145779
,,33.74,1784412357.1925466
,,35.23,1784412358.241381
,,33.81,1784412359.2926764
,,33.85,1784412360.3442578
,,35.24,1784412361.3948114
,,33.86,1784412362.4362895
,,33.85,1784412363.4821296
,,33.88,1784412364.530195
,,35.33,1784412365.578348
,,33.85,1784412366.6287265
,,33.87,1784412367.6800807
,,35.24,1784412368.7246609
,,33.84,1784412369.7764761
,,33.84,1784412370.8272345
,,35.26,1784412371.8733978
,,33.88,1784412372.9277112
,,33.92,1784412373.9767995
,,33.86,1784412375.0244992
,,35.31,1784412376.0717285
,,33.95,1784412377.115837
,,33.9,1784412378.1591992
,,35.33,1784412379.2088149
,,33.89,1784412380.2581058
,,33.94,1784412381.3111963
,,35.15,1784412382.3593066
,,33.9,1784412383.4097645
,,33.89,1784412384.454269
,,33.97,1784412385.5036144
,,35.49,1784412386.551471
,,33.93,1784412387.5992448
,,33.99,1784412388.651891
,,36.81,1784412389.6972647
,,33.85,1784412390.7494907
,,33.78,1784412391.7958922
,,33.76,1784412392.8413615
,,33.72,1784412393.887735
,,36.92,1784412394.922482
,,33.78,1784412395.9677477
,,33.82,1784412397.0160782
,,33.79,1784412398.0644155
,,37.16,1784412399.111896
,,33.8,1784412400.1562533
,,33.82,1784412401.2025764
,,33.85,1784412402.243244
,,37.21,1784412403.2931619
,,33.79,1784412404.3426926
,,33.8,1784412405.3932567
,,33.87,1784412406.4429216
,,33.9,1784412407.4905877
,,37.15,1784412408.5391
,,33.81,1784412409.5851514
,,33.8,1784412410.627498
,,33.86,1784412411.6738875
,,37.16,1784412412.718171
,,33.79,1784412413.7645533
,,33.83,1784412414.8105369
,,33.88,1784412415.8510149
,,34.5,1784412416.8993864
,,35.79,1784412417.94173
,,33.63,1784412418.9887302
,,33.92,1784412420.0339947
,,33.91,1784412421.0815392
,,37.17,1784412422.1275434
,,33.83,1784412423.1685653
,,33.8,1784412424.2137067
,,33.88,1784412425.257729
,,38.14,1784412426.3005955
,,34.51,1784412427.3445284
,,34.7,1784412428.3973835
,,35.07,1784412429.4417288
,,35.18,1784412430.4944777
,,39.19,1784412431.545487
,,35.1,1784412432.6013181
,,35.25,1784412433.647953
,,35.27,1784412434.6954703
,,35.25,1784412435.7414658
,,35.26,1784412436.7921903
,,38.92,1784412437.8371782
,,35.07,1784412438.885921
,,35.1,1784412439.9298828
,,35.27,1784412440.9804285
,,35.33,1784412442.03133
,,39.29,1784412443.0768316
,,34.76,1784412444.124728
,,34.64,1784412445.164378
,,35.08,1784412446.2142437
,,35.15,1784412447.2633386
,,42.22,1784412448.3148437
,,35.98,1784412449.3604977
,,36.02,1784412450.4152339
,,36.09,1784412451.4611716
,,36.19,1784412452.5157614
,,36.22,1784412453.564991
,,41.1,1784412454.620614
,,36.61,1784412455.666518
,,35.92,1784412456.718469
,,36.04,1784412457.7718532
,,36.02,1784412458.8219264
,,36.13,1784412459.8760352
,,36.27,1784412460.928427
,,49.23,1784412461.980413
,,36.77,1784412463.0347548
,,36.82,1784412464.083275
,,36.82,1784412465.1390953
,,36.93,1784412466.194268
,,36.97,1784412467.2477062
,,37.0,1784412468.3027434
,,37.04,1784412469.356846
