gpu_mem_total_mib,gpu_mem_used_mib,gpu_power_w,t
,,11.95,1784411983.7438586
,,11.23,1784411984.8204613
,,11.16,1784411985.841686
,,11.21,1784411986.8645425
,,11.15,1784411987.8867693
,,11.14,1784411988.9103525
,,11.15,1784411989.9317615
,,11.15,1784411990.956112
,,11.17,1784411991.9785187
,,11.14,1784411993.0013492
,,14.32,1784411994.0247307
,,32.4,1784411995.0470095
,,27.58,1784411996.0924633
,,35.81,1784411997.1308746
,,33.36,1784411998.1801963
,,42.37,1784411999.2226214
,,38.91,1784412000.25974
,,45.3,1784412001.2913241
,,44.03,1784412002.3233192
,,47.69,1784412003.3724084
,,49.85,1784412004.4211686
,,47.01,1784412005.4749084
,,55.81,1784412006.513245
,,56.09,1784412007.571059
,,56.55,1784412008.624491
,,56.37,1784412009.6704226
,,60.47,1784412010.7288384
,,57.5,1784412011.7821238
,,56.46,1784412012.8234224
,,56.38,1784412013.8672655
,,56.21,1784412014.92587
,,56.48,1784412015.9688787
,,56.28,1784412017.011263
,,32.6,1784412018.0366237
,,63.7,1784412019.0749903
,,61.16,1784412020.133082
,,62.15,1784412021.1673388
,,67.66,1784412022.203841
,,58.61,1784412023.24747
,,66.13,1784412024.3032951
,,60.69,1784412025.3561091
,,63.53,1784412026.4065464
,,66.27,1784412027.4637928
,,61.44,1784412028.5110905
,,68.34,1784412029.5611646
,,58.07,1784412030.5860875
,,65.26,1784412031.647866
,,60.36,1784412032.6835034
,,63.8,1784412033.7225482
,,68.66,1784412034.764101
,,57.59,1784412035.798206
,,67.16,1784412036.8410041
,,60.38,1784412037.891658
,,65.34,1784412038.9331067
,,62.36,1784412039.9870887
,,62.94,1784412041.0449781
,,69.32,1784412042.104436
,,26.22,1784412043.1353567
,,13.02,1784412044.15849
,,27.36,1784412045.1825788
,,63.94,1784412046.2227883
,,68.8,1784412047.274206
,,73.64,1784412048.3082767
,,74.71,1784412049.332474
,,71.85,1784412050.3791878
,,37.84,1784412051.433737
,,64.26,1784412052.4877703
,,69.23,1784412053.5449781
,,73.56,1784412054.5879812
,,74.08,1784412055.6134222
,,78.02,1784412056.6541228
,,37.07,1784412057.6814005
,,63.42,1784412058.7113247
,,67.9,1784412059.764386
,,72.2,1784412060.79388
,,75.42,1784412061.847673
,,78.42,1784412062.907128
,,44.36,1784412063.9345658
,,56.87,1784412064.9858563
,,68.12,1784412066.0247667
,,71.93,1784412067.0697863
,,74.86,1784412068.1210563
,,79.02,1784412069.1709561
,,50.43,1784412070.1960442
,,53.38,1784412071.2475371
,,68.18,1784412072.300722
,,71.65,1784412073.3482418
,,74.23,1784412074.4143965
