gpu_mem_total_mib,gpu_mem_used_mib,gpu_power_w,t
,,12.28,1784240867.0588496
,,19.34,1784240868.0828671
,,28.04,1784240869.1137633
,,33.02,1784240870.1384456
,,37.01,1784240871.1820564
,,35.06,1784240872.2062476
,,47.51,1784240873.2542198
,,33.91,1784240874.301668
,,53.03,1784240875.3253298
,,59.49,1784240876.3714914
,,55.26,1784240877.4186199
,,60.0,1784240878.455668
,,47.16,1784240879.4975371
,,53.24,1784240880.5414474
,,64.98,1784240881.5980103
,,65.72,1784240882.6372242
,,61.56,1784240883.6834533
,,66.07,1784240884.7308602
,,62.49,1784240885.778945
,,66.63,1784240886.8179336
,,32.77,1784240887.8674142
,,65.94,1784240888.890577
,,42.0,1784240889.930247
,,61.56,1784240890.9551575
,,63.11,1784240891.9903197
,,59.88,1784240893.0198019
,,63.54,1784240894.0623257
,,60.06,1784240895.0967739
,,63.78,1784240896.13121
,,60.36,1784240897.1770048
,,32.97,1784240898.2296944
,,32.95,1784240899.269589
,,34.36,1784240900.3103702
,,32.96,1784240901.3543735
,,32.88,1784240902.39079
,,32.99,1784240903.4341218
,,32.98,1784240904.4778445
,,32.91,1784240905.5186658
,,34.23,1784240906.5635061
,,32.98,1784240907.6105766
,,33.01,1784240908.651636
,,32.95,1784240909.6951525
,,32.99,1784240910.7387156
,,33.07,1784240911.7805858
,,33.07,1784240912.825543
,,33.09,1784240913.8666406
,,33.1,1784240914.9058444
,,33.14,1784240915.9430807
,,33.15,1784240916.9856067
,,32.78,1784240918.0300999
,,26.34,1784240919.054948
,,33.03,1784240920.0963707
,,33.08,1784240921.1411498
,,33.14,1784240922.1852944
,,33.13,1784240923.2283459
,,33.14,1784240924.2647269
,,25.48,1784240925.307196
,,33.14,1784240926.3542342
,,33.15,1784240927.3986638
,,33.14,1784240928.4426477
,,33.17,1784240929.4863403
,,33.12,1784240930.5290453
,,19.51,1784240931.5701609
,,32.97,1784240932.6094887
,,32.99,1784240933.6509542
,,33.11,1784240934.6906712
,,33.12,1784240935.7295702
,,33.15,1784240936.7724483
,,25.08,1784240937.8131607
,,33.04,1784240938.8562772
,,33.08,1784240939.8978143
,,33.13,1784240940.9422772
,,33.18,1784240941.9798887
,,33.22,1784240943.0202975
,,23.99,1784240944.0588648
,,27.13,1784240945.0848129
,,33.14,1784240946.1255362
,,33.2,1784240947.1663773
,,33.15,1784240948.2091968
,,33.2,1784240949.2534077
,,33.26,1784240950.2968626
,,19.1,1784240951.3207316
,,33.19,1784240952.3602788
,,33.21,1784240953.4020865
,,33.22,1784240954.4462771
,,33.26,1784240955.4890776
,,33.25,1784240956.532588
,,24.94,1784240957.5743425
,,33.26,1784240958.6229239
,,35.41,1784240959.668512
,,34.01,1784240960.7152789
,,33.7,1784240961.7665696
,,35.42,1784240962.8117921
,,33.33,1784240963.8592162
,,35.57,1784240964.9013796
,,29.01,1784240965.9436138
,,17.41,1784240966.9675255
,,19.85,1784240967.9915626
,,33.4,1784240969.0347884
,,34.15,1784240970.0757644
,,33.51,1784240971.1193836
,,35.55,1784240972.1593397
,,32.77,1784240973.2059011
,,34.3,1784240974.231196
,,36.81,1784240975.277296
,,35.75,1784240976.3208263
,,39.1,1784240977.3661373
,,36.91,1784240978.4078507
,,37.81,1784240979.4526076
,,33.28,1784240980.4930854
,,41.09,1784240981.5386362
,,36.92,1784240982.5850182
,,35.96,1784240983.6314566
