gpu_mem_total_mib,gpu_mem_used_mib,gpu_power_w,t
,,35.08,1784241486.037461
,,35.0,1784241487.0871248
,,35.02,1784241488.1344707
,,35.16,1784241489.186773
,,34.88,1784241490.2377307
,,34.91,1784241491.2843215
,,34.89,1784241492.3300061
,,34.89,1784241493.375498
,,34.9,1784241494.427317
,,34.9,1784241495.4788382
,,34.91,1784241496.529689
,,34.8,1784241497.5751445
,,34.85,1784241498.6221285
,,34.89,1784241499.6654923
,,34.85,1784241500.7107813
,,34.88,1784241501.7574568
,,35.07,1784241502.8078864
,,34.86,1784241503.855347
,,34.84,1784241504.9011414
,,34.91,1784241505.9521103
,,34.89,1784241507.000808
,,34.95,1784241508.0529325
,,34.96,1784241509.1014318
,,34.96,1784241510.1526024
,,34.99,1784241511.200601
,,34.98,1784241512.2478085
,,35.01,1784241513.29584
,,35.31,1784241514.3448286
,,34.88,1784241515.397133
,,35.0,1784241516.448312
,,35.02,1784241517.498455
,,35.0,1784241518.5422108
,,35.03,1784241519.5931005
,,35.05,1784241520.6454515
,,35.01,1784241521.6928403
,,35.36,1784241522.744001
,,34.95,1784241523.7899592
,,34.96,1784241524.8382587
,,34.99,1784241525.8907247
,,34.96,1784241526.9380972
,,35.61,1784241527.9852612
,,34.99,1784241529.0328603
,,35.09,1784241530.0848882
,,35.03,1784241531.1329603
,,35.04,1784241532.182696
,,35.02,1784241533.2276945
,,35.07,1784241534.2785113
,,35.11,1784241535.3294687
,,35.15,1784241536.3788981
,,35.21,1784241537.430491
,,35.15,1784241538.4778144
,,35.15,1784241539.5276973
,,35.18,1784241540.5750287
,,35.31,1784241541.622841
,,35.11,1784241542.6736305
,,35.11,1784241543.722546
,,35.11,1784241544.7746103
,,35.09,1784241545.8227406
,,35.1,1784241546.8741424
,,35.15,1784241547.9268186
,,35.15,1784241548.9751685
,,35.15,1784241550.02742
,,35.22,1784241551.075324
,,35.23,1784241552.1226048
,,35.22,1784241553.1736448
,,35.17,1784241554.2214115
,,35.22,1784241555.269574
,,36.57,1784241556.3179502
,,35.23,1784241557.3704321
,,35.15,1784241558.415228
,,36.8,1784241559.4650514
,,35.24,1784241560.5112896
,,35.19,1784241561.5571754
,,35.23,1784241562.60749
,,36.88,1784241563.6494489
,,35.28,1784241564.6991432
,,35.32,1784241565.747307
,,36.93,1784241566.7954905
,,35.28,1784241567.8454046
,,35.25,1784241568.8942251
,,37.01,1784241569.9397159
,,35.26,1784241570.9963527
,,35.35,1784241572.0390224
,,35.36,1784241573.0893133
,,38.97,1784241574.141269
,,35.69,1784241575.1891494
,,35.72,1784241576.2322268
