gpu_mem_total_mib,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,gpu_util_pct,t
,,0.0,12.45,0.0,1784764223.642212
,,0.0,11.61,0.0,1784764224.6674635
,,0.0,11.56,0.0,1784764225.6928182
,,0.0,45.96,1.0,1784764226.7160902
,,0.0,62.91,28.0,1784764227.7618182
,,0.0,74.51,95.0,1784764228.8093522
,,0.0,76.88,95.0,1784764229.8620403
,,0.0,79.27,96.0,1784764230.8995812
,,0.0,71.81,96.0,1784764231.9286969
,,0.0,36.89,96.0,1784764232.9756258
,,0.0,48.39,96.0,1784764234.005616
,,0.0,48.84,96.0,1784764235.0540936
,,0.0,48.84,96.0,1784764236.1014972
,,0.0,46.54,96.0,1784764237.1562803
,,0.0,34.37,96.0,1784764238.1993036
,,0.0,12.48,0.0,1784764239.2233446
,,0.0,12.24,0.0,1784764240.248631
,,0.0,12.2,0.0,1784764241.2718282
,,0.0,12.16,0.0,1784764242.2968888
,,0.0,12.13,0.0,1784764243.3211184
,,0.0,12.11,0.0,1784764244.34563
,,0.0,12.07,0.0,1784764245.3707628
,,0.0,12.08,0.0,1784764246.3945801
,,0.0,28.37,0.0,1784764247.419713
,,0.0,81.06,96.0,1784764248.441696
,,0.0,83.59,96.0,1784764249.4858992
,,0.0,84.15,96.0,1784764250.5358849
,,0.0,84.2,96.0,1784764251.561578
,,0.0,85.89,96.0,1784764252.6115499
,,0.0,86.74,96.0,1784764253.660259
,,0.0,86.62,96.0,1784764254.7096267
,,0.0,77.66,96.0,1784764255.7329292
,,0.0,59.5,96.0,1784764256.7667978
,,0.0,38.69,96.0,1784764257.8141568
,,0.0,40.94,96.0,1784764258.8460348
,,0.0,44.61,62.0,1784764259.897324
,,0.0,44.66,96.0,1784764260.950846
,,0.0,44.57,96.0,1784764262.002755
,,0.0,34.18,96.0,1784764263.0595465
,,0.0,12.89,0.0,1784764264.0863562
